;UKX Index;;HSBA LN Equity;;BP/ LN Equity;;BATS LN Equity;;GSK LN Equity;;AZN LN Equity;;DGE LN Equity;;VOD LN Equity;;RIO LN Equity;;ULVR LN Equity;;PRU LN Equity;;LLOY LN Equity;;1986986D LN Equity;;RKT LN Equity;;SHP LN Equity;;BARC LN Equity;;NG/ LN Equity;;IMB LN Equity;;CPG LN Equity;;TSCO LN Equity;;BA/ LN Equity;;AV/ LN Equity;;STAN LN Equity;;AAL LN Equity;;REL LN Equity;;BT/A LN Equity;;LGEN LN Equity;;WPP LN Equity;;2462936D LN Equity;;SSE LN Equity;;SKY LN Equity;;RR/ LN Equity;;SN/ LN Equity;;OML LN Equity;;IAG LN Equity;;ABF LN Equity;;III LN Equity;;NWG LN Equity;;CCL LN Equity;;CNA LN Equity;;NXT LN Equity;;SGE LN Equity;;SMIN LN Equity;;PSON LN Equity;;RSA LN Equity;;BLND LN Equity;;LAND LN Equity;;KGF LN Equity;;RTO LN Equity;;UU/ LN Equity;;MRW LN Equity;;SBRY LN Equity;;SVT LN Equity;;MKS LN Equity;;SDR LN Equity
22/12/2011;5457,00;22/12/2011;488,55;22/12/2011;450,30;22/12/2011;2970,00;22/12/2011;1461,75;22/12/2011;2915,00;22/12/2011;1358,00;22/12/2011;216,23;22/12/2011;3140,00;22/12/2011;2104,00;22/12/2011;527,31;22/12/2011;25,85;22/12/2011;1744,04;22/12/2011;3054,38;22/12/2011;2167,00;22/12/2011;162,67;22/12/2011;610,39;22/12/2011;2375,00;22/12/2011;649,74;22/12/2011;490,96;22/12/2011;275,00;22/12/2011;394,21;22/12/2011;1322,05;22/12/2011;2331,11;22/12/2011;503,50;22/12/2011;191,10;22/12/2011;101,70;22/12/2011;650,50;22/12/2011;2353,62;22/12/2011;1242,00;22/12/2011;712,50;22/12/2011;247,08;22/12/2011;591,00;22/12/2011;125,11;23/12/2011;100,24;22/12/2011;1088,00;22/12/2011;174,90;22/12/2011;221,95;22/12/2011;2107,00;22/12/2011;285,00;22/12/2011;2666,00;22/12/2011;300,54;22/12/2011;897,50;22/12/2011;1191,00;22/12/2011;460,27;22/12/2011;453,20;22/12/2011;658,67;22/12/2011;242,10;22/12/2011;61,60;22/12/2011;589,00;22/12/2011;318,50;22/12/2011;290,30;22/12/2011;1454,00;22/12/2011;290,75;22/12/2011;220,66
23/12/2011;5512,70;23/12/2011;490,05;23/12/2011;459,70;23/12/2011;2998,50;23/12/2011;1472,87;23/12/2011;2954,50;23/12/2011;1378,00;23/12/2011;219,65;23/12/2011;3157,50;23/12/2011;2128,00;23/12/2011;533,72;23/12/2011;25,69;23/12/2011;1747,77;23/12/2011;3108,14;23/12/2011;2188,00;23/12/2011;165,35;23/12/2011;625,58;23/12/2011;2398,00;23/12/2011;654,71;23/12/2011;495,27;23/12/2011;278,40;23/12/2011;394,74;23/12/2011;1321,57;23/12/2011;2347,53;23/12/2011;516,00;23/12/2011;192,50;23/12/2011;102,50;23/12/2011;660,00;23/12/2011;2373,01;23/12/2011;1258,00;23/12/2011;719,00;23/12/2011;248,97;23/12/2011;606,00;23/12/2011;124,84;28/12/2011;97,92;23/12/2011;1104,00;23/12/2011;175,10;23/12/2011;221,20;23/12/2011;2115,00;23/12/2011;290,30;23/12/2011;2692,00;23/12/2011;304,75;23/12/2011;901,00;23/12/2011;1214,00;23/12/2011;463,38;23/12/2011;454,00;23/12/2011;667,73;23/12/2011;246,00;23/12/2011;62,00;23/12/2011;597,50;23/12/2011;320,70;23/12/2011;295,20;23/12/2011;1481,00;23/12/2011;293,62;23/12/2011;221,00
28/12/2011;5507,40;28/12/2011;487,05;28/12/2011;455,75;28/12/2011;3057,50;28/12/2011;1481,47;28/12/2011;2952,00;28/12/2011;1396,50;28/12/2011;219,90;28/12/2011;3091,00;28/12/2011;2142,00;28/12/2011;532,87;28/12/2011;25,02;28/12/2011;1723,06;28/12/2011;3093,47;28/12/2011;2198,00;28/12/2011;159,07;28/12/2011;627,09;28/12/2011;2424,00;28/12/2011;665,76;28/12/2011;506,41;28/12/2011;280,40;28/12/2011;389,21;28/12/2011;1327,28;28/12/2011;2327,13;28/12/2011;513,50;28/12/2011;188,00;28/12/2011;102,10;28/12/2011;665,50;28/12/2011;2384,41;28/12/2011;1265,00;28/12/2011;722,50;28/12/2011;250,68;28/12/2011;603,50;28/12/2011;125,02;29/12/2011;98,25;28/12/2011;1104,00;28/12/2011;175,90;28/12/2011;213,77;28/12/2011;2127,00;28/12/2011;287,80;28/12/2011;2688,00;28/12/2011;304,22;28/12/2011;904,50;28/12/2011;1206,00;28/12/2011;464,71;28/12/2011;452,10;28/12/2011;664,00;28/12/2011;246,00;28/12/2011;62,25;28/12/2011;598,50;28/12/2011;321,10;28/12/2011;296,10;28/12/2011;1483,00;28/12/2011;295,15;28/12/2011;221,00
29/12/2011;5566,80;29/12/2011;492,00;29/12/2011;460,85;29/12/2011;3068,00;29/12/2011;1490,58;29/12/2011;2970,00;29/12/2011;1408,00;29/12/2011;222,95;29/12/2011;3115,50;29/12/2011;2173,00;29/12/2011;538,85;29/12/2011;25,48;29/12/2011;1746,84;29/12/2011;3113,02;29/12/2011;2230,00;29/12/2011;161,19;29/12/2011;635,19;29/12/2011;2437,00;29/12/2011;670,18;29/12/2011;510,15;29/12/2011;282,90;29/12/2011;394,87;29/12/2011;1344,89;29/12/2011;2355,99;29/12/2011;516,50;29/12/2011;192,00;29/12/2011;102,90;29/12/2011;668,00;29/12/2011;2403,80;29/12/2011;1280,00;29/12/2011;734,50;29/12/2011;253,43;29/12/2011;620,00;29/12/2011;127,23;30/12/2011;97,72;29/12/2011;1109,00;29/12/2011;178,00;29/12/2011;216,57;29/12/2011;2141,00;29/12/2011;289,70;29/12/2011;2737,00;29/12/2011;305,17;29/12/2011;907,50;29/12/2011;1222,00;29/12/2011;468,71;29/12/2011;457,10;29/12/2011;672,00;29/12/2011;248,80;29/12/2011;62,45;29/12/2011;604,50;29/12/2011;324,10;29/12/2011;296,00;29/12/2011;1497,00;29/12/2011;296,01;29/12/2011;222,36
30/12/2011;5572,30;30/12/2011;491,05;30/12/2011;460,50;30/12/2011;3055,50;30/12/2011;1488,55;30/12/2011;2975,00;30/12/2011;1406,50;30/12/2011;222,89;30/12/2011;3125,00;30/12/2011;2163,00;30/12/2011;545,69;30/12/2011;25,91;30/12/2011;1751,04;30/12/2011;3108,14;30/12/2011;2243,00;30/12/2011;162,63;30/12/2011;632,66;30/12/2011;2435,00;30/12/2011;675,16;30/12/2011;511,04;30/12/2011;285,10;30/12/2011;395,79;30/12/2011;1341,08;30/12/2011;2367,94;30/12/2011;519,00;30/12/2011;190,90;30/12/2011;102,80;30/12/2011;675,50;30/12/2011;2431,16;30/12/2011;1291,00;30/12/2011;732,50;30/12/2011;256,18;30/12/2011;625,50;30/12/2011;125,02;03/01/2012;100,24;30/12/2011;1107,00;30/12/2011;181,00;30/12/2011;217,32;30/12/2011;2126,00;30/12/2011;289,30;30/12/2011;2737,00;30/12/2011;309,48;30/12/2011;915,00;30/12/2011;1210,00;30/12/2011;466,93;30/12/2011;462,50;30/12/2011;677,87;30/12/2011;250,70;30/12/2011;62,65;30/12/2011;606,00;30/12/2011;326,20;30/12/2011;302,90;30/12/2011;1496,00;30/12/2011;297,45;30/12/2011;223,38
03/01/2012;5699,90;03/01/2012;504,90;03/01/2012;471,05;03/01/2012;3079,00;03/01/2012;1501,70;03/01/2012;3050,00;03/01/2012;1428,00;03/01/2012;225,20;03/01/2012;3325,00;03/01/2012;2189,00;03/01/2012;551,24;03/01/2012;27,04;03/01/2012;1858,76;03/01/2012;3204,90;03/01/2012;2225,00;03/01/2012;172,09;03/01/2012;639,24;03/01/2012;2444,00;03/01/2012;680,68;03/01/2012;520,92;03/01/2012;294,90;03/01/2012;410,40;03/01/2012;1383,91;03/01/2012;2485,39;03/01/2012;523,50;03/01/2012;199,10;03/01/2012;106,30;03/01/2012;682,00;03/01/2012;2447,13;03/01/2012;1303,00;03/01/2012;742,00;03/01/2012;259,78;03/01/2012;626,00;03/01/2012;128,99;04/01/2012;99,05;03/01/2012;1115,00;03/01/2012;187,80;03/01/2012;226,26;03/01/2012;2176,00;03/01/2012;297,10;03/01/2012;2741,00;03/01/2012;315,48;03/01/2012;948,50;03/01/2012;1234,00;03/01/2012;478,47;03/01/2012;467,90;03/01/2012;684,80;03/01/2012;250,00;03/01/2012;65,70;03/01/2012;611,50;03/01/2012;328,00;03/01/2012;310,30;03/01/2012;1520,00;03/01/2012;303,19;03/01/2012;230,18
04/01/2012;5668,50;04/01/2012;500,00;04/01/2012;473,45;04/01/2012;3064,50;04/01/2012;1500,19;04/01/2012;3034,50;04/01/2012;1412,00;04/01/2012;224,26;04/01/2012;3342,00;04/01/2012;2156,00;04/01/2012;549,96;04/01/2012;26,60;04/01/2012;1841,97;04/01/2012;3191,21;04/01/2012;2169,00;04/01/2012;173,99;04/01/2012;637,72;04/01/2012;2443,00;04/01/2012;677,37;04/01/2012;513,63;04/01/2012;286,60;04/01/2012;406,58;04/01/2012;1372,49;04/01/2012;2460,01;04/01/2012;518,50;04/01/2012;198,00;04/01/2012;105,30;04/01/2012;679,00;04/01/2012;2425,46;04/01/2012;1310,00;04/01/2012;730,00;04/01/2012;257,38;04/01/2012;626,00;04/01/2012;128,34;05/01/2012;96,46;04/01/2012;1105,00;04/01/2012;183,90;04/01/2012;223,57;04/01/2012;2147,00;04/01/2012;297,00;04/01/2012;2656,00;04/01/2012;308,22;04/01/2012;938,50;04/01/2012;1229,00;04/01/2012;480,25;04/01/2012;464,50;04/01/2012;670,40;04/01/2012;248,80;04/01/2012;64,70;04/01/2012;620,50;04/01/2012;321,70;04/01/2012;305,50;04/01/2012;1537,00;04/01/2012;295,34;04/01/2012;223,55
05/01/2012;5624,30;05/01/2012;497,60;05/01/2012;474,05;05/01/2012;3032,50;05/01/2012;1499,18;05/01/2012;3009,50;05/01/2012;1415,00;05/01/2012;220,90;05/01/2012;3321,00;05/01/2012;2170,00;05/01/2012;541,41;05/01/2012;26,35;05/01/2012;1819,59;05/01/2012;3200,01;05/01/2012;2152,00;05/01/2012;169,65;05/01/2012;620,51;05/01/2012;2424,00;05/01/2012;663,55;05/01/2012;498,94;05/01/2012;287,00;05/01/2012;399,34;05/01/2012;1365,83;05/01/2012;2443,58;05/01/2012;510,00;05/01/2012;194,90;05/01/2012;103,00;05/01/2012;669,00;05/01/2012;2441,43;05/01/2012;1291,00;05/01/2012;721,00;05/01/2012;258,75;05/01/2012;606,00;05/01/2012;126,87;06/01/2012;97,13;05/01/2012;1113,00;05/01/2012;176,80;05/01/2012;218,29;05/01/2012;2145,00;05/01/2012;290,80;05/01/2012;2614,00;05/01/2012;310,01;05/01/2012;936,50;05/01/2012;1212,00;05/01/2012;474,48;05/01/2012;468,10;05/01/2012;678,93;05/01/2012;247,40;05/01/2012;63,55;05/01/2012;618,50;05/01/2012;316,00;05/01/2012;298,00;05/01/2012;1532,00;05/01/2012;292,86;05/01/2012;219,13
06/01/2012;5649,70;06/01/2012;498,20;06/01/2012;477,05;06/01/2012;3038,00;06/01/2012;1514,35;06/01/2012;3042,50;06/01/2012;1414,50;06/01/2012;223,64;06/01/2012;3313,50;06/01/2012;2123,00;06/01/2012;544,83;06/01/2012;27,11;06/01/2012;1817,72;06/01/2012;3199,03;06/01/2012;2150,00;06/01/2012;172,19;06/01/2012;616,97;06/01/2012;2411,00;06/01/2012;668,53;06/01/2012;495,14;06/01/2012;287,80;06/01/2012;396,71;06/01/2012;1352,50;06/01/2012;2457,52;06/01/2012;509,00;06/01/2012;196,00;06/01/2012;104,20;06/01/2012;690,00;06/01/2012;2416,34;06/01/2012;1285,00;06/01/2012;711,50;06/01/2012;259,26;06/01/2012;607,00;06/01/2012;128,43;09/01/2012;95,60;06/01/2012;1119,00;06/01/2012;178,30;06/01/2012;220,88;06/01/2012;2166,00;06/01/2012;287,30;06/01/2012;2579,00;06/01/2012;314,64;06/01/2012;942,00;06/01/2012;1229,00;06/01/2012;479,36;06/01/2012;460,30;06/01/2012;662,93;06/01/2012;249,70;06/01/2012;64,60;06/01/2012;613,00;06/01/2012;311,30;06/01/2012;298,80;06/01/2012;1534,00;06/01/2012;297,16;06/01/2012;220,15
09/01/2012;5612,30;09/01/2012;491,40;09/01/2012;473,60;09/01/2012;3010,00;09/01/2012;1451,63;09/01/2012;3009,00;09/01/2012;1416,00;09/01/2012;220,65;09/01/2012;3311,00;09/01/2012;2135,00;09/01/2012;543,55;09/01/2012;26,19;09/01/2012;1816,32;09/01/2012;3232,27;09/01/2012;2170,00;09/01/2012;164,52;09/01/2012;631,65;09/01/2012;2405,00;09/01/2012;668,53;09/01/2012;494,57;09/01/2012;289,20;09/01/2012;393,42;09/01/2012;1330,14;09/01/2012;2427,16;09/01/2012;508,50;09/01/2012;196,40;09/01/2012;103,10;09/01/2012;701,00;09/01/2012;2371,87;09/01/2012;1292,00;09/01/2012;707,00;09/01/2012;259,61;09/01/2012;600,50;09/01/2012;126,59;10/01/2012;97,39;09/01/2012;1116,00;09/01/2012;175,60;09/01/2012;216,14;09/01/2012;2153,00;09/01/2012;286,10;09/01/2012;2573,00;09/01/2012;315,27;09/01/2012;940,00;09/01/2012;1226,00;09/01/2012;475,36;09/01/2012;455,30;09/01/2012;659,20;09/01/2012;251,60;09/01/2012;66,00;09/01/2012;612,00;09/01/2012;311,50;09/01/2012;300,00;09/01/2012;1528,00;09/01/2012;295,06;09/01/2012;213,52
10/01/2012;5696,70;10/01/2012;504,70;10/01/2012;479,60;10/01/2012;3028,50;10/01/2012;1436,46;10/01/2012;3024,50;10/01/2012;1416,00;10/01/2012;222,70;10/01/2012;3428,50;10/01/2012;2151,00;10/01/2012;557,22;10/01/2012;27,31;10/01/2012;1878,34;10/01/2012;3279,18;10/01/2012;2180,00;10/01/2012;173,94;10/01/2012;639,24;10/01/2012;2415,00;10/01/2012;676,81;10/01/2012;494,00;10/01/2012;304,10;10/01/2012;403,95;10/01/2012;1363,45;10/01/2012;2506,79;10/01/2012;517,50;10/01/2012;199,50;10/01/2012;107,00;10/01/2012;724,50;10/01/2012;2406,08;10/01/2012;1301,00;10/01/2012;716,50;10/01/2012;263,90;10/01/2012;599,00;10/01/2012;128,80;11/01/2012;101,24;10/01/2012;1132,00;10/01/2012;174,50;10/01/2012;227,55;10/01/2012;2193,00;10/01/2012;287,50;10/01/2012;2590,00;10/01/2012;316,01;10/01/2012;943,50;10/01/2012;1237,00;10/01/2012;483,80;10/01/2012;470,80;10/01/2012;673,60;10/01/2012;255,00;10/01/2012;66,60;10/01/2012;614,00;10/01/2012;309,70;10/01/2012;305,90;10/01/2012;1539,00;10/01/2012;303,86;10/01/2012;216,07
11/01/2012;5670,80;11/01/2012;503,60;11/01/2012;475,30;11/01/2012;2977,50;11/01/2012;1462,25;11/01/2012;3049,00;11/01/2012;1399,00;11/01/2012;223,39;11/01/2012;3489,00;11/01/2012;2084,00;11/01/2012;564,06;11/01/2012;28,17;11/01/2012;1894,20;11/01/2012;3307,53;11/01/2012;2183,00;11/01/2012;175,79;11/01/2012;638,23;11/01/2012;2390,00;11/01/2012;675,16;11/01/2012;487,67;11/01/2012;308,00;11/01/2012;414,87;11/01/2012;1363,93;11/01/2012;2515,25;11/01/2012;517,50;11/01/2012;201,50;11/01/2012;109,80;11/01/2012;716,50;11/01/2012;2388,97;11/01/2012;1264,00;11/01/2012;708,00;11/01/2012;262,52;11/01/2012;603,50;11/01/2012;128,99;12/01/2012;102,63;11/01/2012;1130,00;11/01/2012;173,90;11/01/2012;234,66;11/01/2012;2256,00;11/01/2012;283,80;11/01/2012;2598,00;11/01/2012;316,64;11/01/2012;959,50;11/01/2012;1232,00;11/01/2012;485,13;11/01/2012;461,30;11/01/2012;673,07;11/01/2012;255,50;11/01/2012;70,40;11/01/2012;609,50;11/01/2012;304,00;11/01/2012;302,10;11/01/2012;1529,00;11/01/2012;308,06;11/01/2012;220,83
12/01/2012;5662,40;12/01/2012;499,60;12/01/2012;479,50;12/01/2012;2990,00;12/01/2012;1468,32;12/01/2012;3070,00;12/01/2012;1399,50;12/01/2012;223,64;12/01/2012;3547,50;12/01/2012;2085,00;12/01/2012;570,04;12/01/2012;29,15;12/01/2012;1916,58;12/01/2012;3260,61;12/01/2012;2184,00;12/01/2012;178,70;12/01/2012;638,23;12/01/2012;2414,00;12/01/2012;669,63;12/01/2012;409,70;12/01/2012;302,30;12/01/2012;427,50;12/01/2012;1377,25;12/01/2012;2543,12;12/01/2012;518,00;12/01/2012;199,70;12/01/2012;112,10;12/01/2012;732,50;12/01/2012;2401,51;12/01/2012;1263,00;12/01/2012;697,50;12/01/2012;261,84;12/01/2012;596,00;12/01/2012;132,31;13/01/2012;103,82;12/01/2012;1138,00;12/01/2012;177,50;12/01/2012;247,69;12/01/2012;2284,00;12/01/2012;280,50;12/01/2012;2595,00;12/01/2012;312,74;12/01/2012;955,00;12/01/2012;1222,00;12/01/2012;496,67;12/01/2012;470,50;12/01/2012;683,73;12/01/2012;251,10;12/01/2012;70,90;12/01/2012;611,00;12/01/2012;285,90;12/01/2012;285,90;12/01/2012;1541,00;12/01/2012;301,85;12/01/2012;228,65
13/01/2012;5636,60;13/01/2012;504,70;13/01/2012;476,30;13/01/2012;2970,00;13/01/2012;1451,12;13/01/2012;3047,00;13/01/2012;1390,00;13/01/2012;218,03;13/01/2012;3561,00;13/01/2012;2055,00;13/01/2012;566,20;13/01/2012;29,50;13/01/2012;1907,25;13/01/2012;3235,20;13/01/2012;2166,00;13/01/2012;185,86;13/01/2012;632,66;13/01/2012;2383,00;13/01/2012;674,05;13/01/2012;401,28;13/01/2012;303,00;13/01/2012;425,26;13/01/2012;1395,34;13/01/2012;2558,55;13/01/2012;522,00;13/01/2012;203,40;13/01/2012;111,60;13/01/2012;731,00;13/01/2012;2406,08;13/01/2012;1251,00;13/01/2012;693,00;13/01/2012;261,67;13/01/2012;598,00;13/01/2012;130,37;16/01/2012;103,03;13/01/2012;1128,00;13/01/2012;178,30;13/01/2012;259,54;13/01/2012;2248,00;13/01/2012;283,00;13/01/2012;2596,00;13/01/2012;315,59;13/01/2012;935,50;13/01/2012;1217,00;13/01/2012;488,24;13/01/2012;466,00;13/01/2012;677,87;13/01/2012;251,90;13/01/2012;71,80;13/01/2012;610,00;13/01/2012;287,30;13/01/2012;284,10;13/01/2012;1542,00;13/01/2012;303,19;13/01/2012;229,67
16/01/2012;5657,40;16/01/2012;507,70;16/01/2012;478,00;16/01/2012;2990,00;16/01/2012;1462,25;16/01/2012;3070,50;16/01/2012;1406,00;16/01/2012;219,09;16/01/2012;3589,00;16/01/2012;2077,00;16/01/2012;572,61;16/01/2012;29,47;16/01/2012;1939,90;16/01/2012;3243,99;16/01/2012;2186,00;16/01/2012;183,92;16/01/2012;636,20;16/01/2012;2361,00;16/01/2012;674,05;16/01/2012;395,64;16/01/2012;304,90;16/01/2012;426,97;16/01/2012;1397,24;16/01/2012;2582,93;16/01/2012;524,50;16/01/2012;207,60;16/01/2012;112,70;16/01/2012;738,00;16/01/2012;2394,67;16/01/2012;1246,00;16/01/2012;683,50;16/01/2012;262,18;16/01/2012;596,00;16/01/2012;131,39;17/01/2012;103,56;16/01/2012;1131,00;16/01/2012;178,00;16/01/2012;262,99;16/01/2012;1878,00;16/01/2012;283,70;16/01/2012;2607,00;16/01/2012;317,37;16/01/2012;937,50;16/01/2012;1250,00;16/01/2012;487,79;16/01/2012;467,00;16/01/2012;676,27;16/01/2012;246,50;16/01/2012;72,75;16/01/2012;610,50;16/01/2012;288,20;16/01/2012;283,20;16/01/2012;1549,00;16/01/2012;302,71;16/01/2012;229,16
17/01/2012;5694,00;17/01/2012;517,50;17/01/2012;481,95;17/01/2012;2968,00;17/01/2012;1470,85;17/01/2012;3101,50;17/01/2012;1401,00;17/01/2012;218,53;17/01/2012;3694,00;17/01/2012;2064,00;17/01/2012;579,87;17/01/2012;29,54;17/01/2012;1977,67;17/01/2012;3254,75;17/01/2012;2213,00;17/01/2012;184,06;17/01/2012;637,22;17/01/2012;2360,00;17/01/2012;671,29;17/01/2012;402,17;17/01/2012;305,40;17/01/2012;427,63;17/01/2012;1401,05;17/01/2012;2621,25;17/01/2012;523,50;17/01/2012;205,80;17/01/2012;112,50;17/01/2012;742,50;17/01/2012;2414,06;17/01/2012;1260,00;17/01/2012;681,50;17/01/2012;261,84;17/01/2012;595,00;17/01/2012;133,42;18/01/2012;103,03;17/01/2012;1133,00;17/01/2012;179,00;17/01/2012;267,62;17/01/2012;1909,00;17/01/2012;286,50;17/01/2012;2627,00;17/01/2012;318,64;17/01/2012;960,00;17/01/2012;1255,00;17/01/2012;484,24;17/01/2012;477,00;17/01/2012;685,33;17/01/2012;251,30;17/01/2012;73,75;17/01/2012;610,50;17/01/2012;285,90;17/01/2012;285,30;17/01/2012;1550,00;17/01/2012;306,82;17/01/2012;231,71
18/01/2012;5702,40;18/01/2012;515,60;18/01/2012;481,40;18/01/2012;2962,50;18/01/2012;1484,00;18/01/2012;3111,50;18/01/2012;1401,50;18/01/2012;218,10;18/01/2012;3710,50;18/01/2012;2066,00;18/01/2012;583,29;18/01/2012;29,59;18/01/2012;1993,52;18/01/2012;3304,59;18/01/2012;2194,00;18/01/2012;185,77;18/01/2012;631,14;18/01/2012;2246,00;18/01/2012;684,55;18/01/2012;406,60;18/01/2012;311,50;18/01/2012;427,63;18/01/2012;1417,23;18/01/2012;2635,69;18/01/2012;525,50;18/01/2012;203,90;18/01/2012;112,10;18/01/2012;746,00;18/01/2012;2485,90;18/01/2012;1247,00;18/01/2012;689,50;18/01/2012;257,20;18/01/2012;596,50;18/01/2012;133,42;19/01/2012;109,72;18/01/2012;1137,00;18/01/2012;178,50;18/01/2012;267,51;18/01/2012;1971,00;18/01/2012;285,10;18/01/2012;2643,00;18/01/2012;321,69;18/01/2012;970,00;18/01/2012;1246,00;18/01/2012;474,92;18/01/2012;478,50;18/01/2012;685,87;18/01/2012;255,40;18/01/2012;73,60;18/01/2012;607,50;18/01/2012;291,00;18/01/2012;286,40;18/01/2012;1532,00;18/01/2012;309,59;18/01/2012;232,05
19/01/2012;5741,20;19/01/2012;536,40;19/01/2012;482,45;19/01/2012;2897,50;19/01/2012;1454,16;19/01/2012;3070,00;19/01/2012;1381,00;19/01/2012;217,41;19/01/2012;3728,00;19/01/2012;2041,00;19/01/2012;598,25;19/01/2012;32,27;19/01/2012;2013,11;19/01/2012;3322,19;19/01/2012;2165,00;19/01/2012;204,47;19/01/2012;625,07;19/01/2012;2221,00;19/01/2012;677,37;19/01/2012;414,20;19/01/2012;313,70;19/01/2012;450,00;19/01/2012;1483,85;19/01/2012;2635,19;19/01/2012;527,50;19/01/2012;203,10;19/01/2012;115,50;19/01/2012;748,00;19/01/2012;2565,72;19/01/2012;1245,00;19/01/2012;666,50;19/01/2012;252,23;19/01/2012;599,50;19/01/2012;135,35;20/01/2012;111,12;19/01/2012;1159,00;19/01/2012;181,50;19/01/2012;291,42;19/01/2012;2017,00;19/01/2012;283,40;19/01/2012;2629,00;19/01/2012;321,90;19/01/2012;998,50;19/01/2012;1230,00;19/01/2012;480,25;19/01/2012;490,00;19/01/2012;724,80;19/01/2012;258,10;19/01/2012;74,20;19/01/2012;600,50;19/01/2012;291,10;19/01/2012;287,90;19/01/2012;1529,00;19/01/2012;312,75;19/01/2012;244,29
20/01/2012;5728,60;20/01/2012;542,30;20/01/2012;467,45;20/01/2012;2922,00;20/01/2012;1455,17;20/01/2012;3037,50;20/01/2012;1393,00;20/01/2012;220,59;20/01/2012;3684,50;20/01/2012;2047,00;20/01/2012;593,12;20/01/2012;32,66;20/01/2012;1982,33;20/01/2012;3332,94;20/01/2012;2121,00;20/01/2012;205,67;20/01/2012;626,08;20/01/2012;2253,00;20/01/2012;677,92;20/01/2012;416,73;20/01/2012;313,70;20/01/2012;461,71;20/01/2012;1489,56;20/01/2012;2647,63;20/01/2012;531,00;20/01/2012;205,50;20/01/2012;116,90;20/01/2012;745,00;20/01/2012;2552,04;20/01/2012;1251,00;20/01/2012;671,50;20/01/2012;252,40;20/01/2012;608,50;20/01/2012;135,72;23/01/2012;113,44;20/01/2012;1154,00;20/01/2012;186,40;20/01/2012;295,51;20/01/2012;1989,00;20/01/2012;283,30;20/01/2012;2657,00;20/01/2012;320,63;20/01/2012;989,50;20/01/2012;1233,00;20/01/2012;480,25;20/01/2012;495,90;20/01/2012;737,07;20/01/2012;260,30;20/01/2012;75,00;20/01/2012;599,50;20/01/2012;293,80;20/01/2012;290,60;20/01/2012;1532,00;20/01/2012;320,11;20/01/2012;248,37
23/01/2012;5782,60;23/01/2012;544,90;23/01/2012;476,70;23/01/2012;2948,50;23/01/2012;1458,71;23/01/2012;3069,50;23/01/2012;1387,50;23/01/2012;222,83;23/01/2012;3736,00;23/01/2012;2060,00;23/01/2012;612,35;23/01/2012;32,59;23/01/2012;2013,57;23/01/2012;3287,98;23/01/2012;2120,00;23/01/2012;205,67;23/01/2012;621,53;23/01/2012;2240,00;23/01/2012;680,13;23/01/2012;424,33;23/01/2012;322,50;23/01/2012;470,26;23/01/2012;1503,84;23/01/2012;2673,01;23/01/2012;537,50;23/01/2012;206,20;23/01/2012;117,60;23/01/2012;757,50;23/01/2012;2554,32;23/01/2012;1236,00;23/01/2012;680,00;23/01/2012;258,41;23/01/2012;613,50;23/01/2012;137,20;24/01/2012;112,38;23/01/2012;1160,00;23/01/2012;187,20;23/01/2012;303,05;23/01/2012;1979,00;23/01/2012;282,40;23/01/2012;2614,00;23/01/2012;326,21;23/01/2012;996,50;23/01/2012;1236,00;23/01/2012;483,35;23/01/2012;496,60;23/01/2012;737,60;23/01/2012;258,10;23/01/2012;75,30;23/01/2012;594,00;23/01/2012;296,80;23/01/2012;290,50;23/01/2012;1517,00;23/01/2012;317,91;23/01/2012;252,79
24/01/2012;5751,90;24/01/2012;540,10;24/01/2012;477,40;24/01/2012;2955,00;24/01/2012;1441,51;24/01/2012;3056,50;24/01/2012;1408,50;24/01/2012;219,59;24/01/2012;3700,00;24/01/2012;2045,00;24/01/2012;602,95;24/01/2012;31,68;24/01/2012;1985,60;24/01/2012;3287,98;24/01/2012;2120,00;24/01/2012;201,84;24/01/2012;629,63;24/01/2012;2244,00;24/01/2012;671,29;24/01/2012;418,00;24/01/2012;316,50;24/01/2012;465,92;24/01/2012;1495,27;24/01/2012;2644,15;24/01/2012;535,50;24/01/2012;208,80;24/01/2012;116,40;24/01/2012;751,50;24/01/2012;2499,58;24/01/2012;1253,00;24/01/2012;682,00;24/01/2012;255,66;24/01/2012;607,00;24/01/2012;135,72;25/01/2012;113,83;24/01/2012;1157,00;24/01/2012;185,00;24/01/2012;291,31;24/01/2012;1990,00;24/01/2012;287,50;24/01/2012;2597,00;24/01/2012;319,79;24/01/2012;981,00;24/01/2012;1183,00;24/01/2012;483,35;24/01/2012;490,00;24/01/2012;727,47;24/01/2012;258,50;24/01/2012;74,20;24/01/2012;599,00;24/01/2012;296,20;24/01/2012;290,30;24/01/2012;1522,00;24/01/2012;316,67;24/01/2012;252,11
