;UKX Index;;HSBA LN Equity;;BP/ LN Equity;;BATS LN Equity;;GSK LN Equity;;AZN LN Equity;;DGE LN Equity;;VOD LN Equity;;RIO LN Equity;;ULVR LN Equity;;PRU LN Equity;;LLOY LN Equity;;1986986D LN Equity;;RKT LN Equity;;SHP LN Equity;;BARC LN Equity;;NG/ LN Equity;;IMB LN Equity;;CPG LN Equity;;TSCO LN Equity;;BA/ LN Equity;;AV/ LN Equity;;STAN LN Equity;;AAL LN Equity;;REL LN Equity;;BT/A LN Equity;;LGEN LN Equity;;WPP LN Equity;;2462936D LN Equity;;SSE LN Equity;;SKY LN Equity;;RR/ LN Equity;;SN/ LN Equity;;OML LN Equity;;IAG LN Equity;;ABF LN Equity;;III LN Equity;;NWG LN Equity;;CCL LN Equity;;CNA LN Equity;;NXT LN Equity;;SGE LN Equity;;SMIN LN Equity;;PSON LN Equity;;RSA LN Equity;;BLND LN Equity;;LAND LN Equity;;KGF LN Equity;;RTO LN Equity;;UU/ LN Equity;;MRW LN Equity;;SBRY LN Equity;;SVT LN Equity;;MKS LN Equity;;SDR LN Equity
03/06/2014;6836,30;02/06/2014;626,80;02/06/2014;504,90;02/06/2014;3584,50;02/06/2014;1611,97;02/06/2014;4370,50;02/06/2014;1907,00;02/06/2014;208,95;02/06/2014;3120,00;02/06/2014;2679,00;02/06/2014;1187,09;02/06/2014;77,39;02/06/2014;1759,90;02/06/2014;5004,29;02/06/2014;3482,00;02/06/2014;246,10;02/06/2014;906,98;02/06/2014;2669,00;02/06/2014;1104,45;02/06/2014;380,70;02/06/2014;428,00;02/06/2014;693,42;02/06/2014;1275,89;02/06/2014;1484,57;02/06/2014;952,50;02/06/2014;399,60;02/06/2014;233,30;02/06/2014;1297,00;02/06/2014;3493,89;02/06/2014;1570,00;02/06/2014;879,50;02/06/2014;364,79;02/06/2014;1027,00;02/06/2014;162,76;03/06/2014;265,79;02/06/2014;3028,00;02/06/2014;427,40;02/06/2014;371,43;02/06/2014;2420,00;02/06/2014;336,80;02/06/2014;6675,00;02/06/2014;413,40;02/06/2014;1327,00;02/06/2014;1174,00;02/06/2014;480,70;02/06/2014;719,50;02/06/2014;1145,60;02/06/2014;386,50;02/06/2014;118,20;02/06/2014;877,00;02/06/2014;198,60;02/06/2014;339,10;02/06/2014;1977,00;02/06/2014;430,68;02/06/2014;438,94
04/06/2014;6818,60;03/06/2014;624,00;03/06/2014;503,20;03/06/2014;3569,50;03/06/2014;1600,33;03/06/2014;4349,00;03/06/2014;1916,50;03/06/2014;207,55;03/06/2014;3119,00;03/06/2014;2692,00;03/06/2014;1174,27;03/06/2014;77,05;03/06/2014;1749,64;03/06/2014;4999,41;03/06/2014;3467,00;03/06/2014;244,10;03/06/2014;888,26;03/06/2014;2661,00;03/06/2014;1100,58;03/06/2014;376,83;03/06/2014;424,60;03/06/2014;689,47;03/06/2014;1279,22;03/06/2014;1451,22;03/06/2014;940,50;03/06/2014;397,80;03/06/2014;230,00;03/06/2014;1288,00;03/06/2014;3549,84;03/06/2014;1563,00;03/06/2014;873,00;03/06/2014;362,39;03/06/2014;1030,00;03/06/2014;160,50;04/06/2014;267,65;03/06/2014;3017,00;03/06/2014;426,00;03/06/2014;367,23;03/06/2014;2428,00;03/06/2014;334,70;03/06/2014;6590,00;03/06/2014;411,30;03/06/2014;1313,00;03/06/2014;1171,00;03/06/2014;482,10;03/06/2014;720,00;03/06/2014;1142,40;03/06/2014;387,60;03/06/2014;117,20;03/06/2014;868,50;03/06/2014;194,40;03/06/2014;333,80;03/06/2014;1968,00;03/06/2014;427,04;03/06/2014;437,58
05/06/2014;6813,50;04/06/2014;623,00;04/06/2014;497,85;04/06/2014;3568,50;04/06/2014;1599,32;04/06/2014;4348,50;04/06/2014;1907,00;04/06/2014;205,10;04/06/2014;3129,00;04/06/2014;2684,00;04/06/2014;1170,85;04/06/2014;78,04;04/06/2014;1756,17;04/06/2014;4999,41;04/06/2014;3514,00;04/06/2014;242,85;04/06/2014;840,68;04/06/2014;2682,00;04/06/2014;1112,74;04/06/2014;371,77;04/06/2014;424,20;04/06/2014;692,11;04/06/2014;1271,60;04/06/2014;1454,21;04/06/2014;941,50;04/06/2014;397,70;04/06/2014;230,70;04/06/2014;1261,00;04/06/2014;3543,50;04/06/2014;1551,00;04/06/2014;876,00;04/06/2014;364,44;04/06/2014;1064,00;04/06/2014;160,82;05/06/2014;267,65;04/06/2014;3048,00;04/06/2014;424,60;04/06/2014;363,89;04/06/2014;2430,00;04/06/2014;329,70;04/06/2014;6645,00;04/06/2014;414,80;04/06/2014;1315,00;04/06/2014;1158,00;04/06/2014;481,50;04/06/2014;720,00;04/06/2014;1148,80;04/06/2014;384,40;04/06/2014;117,10;04/06/2014;868,00;04/06/2014;193,80;04/06/2014;327,60;04/06/2014;1968,00;04/06/2014;430,58;04/06/2014;440,64
06/06/2014;6858,20;05/06/2014;620,90;05/06/2014;499,70;05/06/2014;3535,00;05/06/2014;1600,33;05/06/2014;4296,00;05/06/2014;1905,00;05/06/2014;204,00;05/06/2014;3144,00;05/06/2014;2676,00;05/06/2014;1173,84;05/06/2014;78,80;05/06/2014;1749,64;05/06/2014;4999,41;05/06/2014;3538,00;05/06/2014;240,25;05/06/2014;841,69;05/06/2014;2641,00;05/06/2014;1105,00;05/06/2014;369,42;05/06/2014;423,60;05/06/2014;700,66;05/06/2014;1259,70;05/06/2014;1447,24;05/06/2014;936,50;05/06/2014;398,40;05/06/2014;231,30;05/06/2014;1266,00;05/06/2014;3534,00;05/06/2014;1559,00;05/06/2014;872,00;05/06/2014;367,19;05/06/2014;1088,00;05/06/2014;163,16;06/06/2014;277,72;05/06/2014;3034,00;05/06/2014;428,50;05/06/2014;363,14;05/06/2014;2430,00;05/06/2014;330,50;05/06/2014;6640,00;05/06/2014;410,70;05/06/2014;1323,00;05/06/2014;1148,00;05/06/2014;479,80;05/06/2014;717,50;05/06/2014;1147,73;05/06/2014;381,40;05/06/2014;116,50;05/06/2014;883,00;05/06/2014;192,50;05/06/2014;327,50;05/06/2014;1968,00;05/06/2014;432,88;05/06/2014;443,70
09/06/2014;6875,00;06/06/2014;624,00;06/06/2014;505,00;06/06/2014;3541,00;06/06/2014;1606,40;06/06/2014;4328,00;06/06/2014;1875,00;06/06/2014;207,00;06/06/2014;3168,50;06/06/2014;2632,00;06/06/2014;1181,96;06/06/2014;80,15;06/06/2014;1764,56;06/06/2014;4955,42;06/06/2014;3570,00;06/06/2014;242,70;06/06/2014;858,90;06/06/2014;2607,00;06/06/2014;1116,05;06/06/2014;368,03;06/06/2014;427,20;06/06/2014;702,63;06/06/2014;1275,41;06/06/2014;1458,19;06/06/2014;943,00;06/06/2014;405,20;06/06/2014;235,70;06/06/2014;1290,00;06/06/2014;3601,56;06/06/2014;1556,00;06/06/2014;868,50;06/06/2014;369,25;06/06/2014;1066,00;06/06/2014;165,66;09/06/2014;279,05;06/06/2014;3027,00;06/06/2014;432,10;06/06/2014;364,65;06/06/2014;2462,00;06/06/2014;335,50;06/06/2014;6630,00;06/06/2014;412,90;06/06/2014;1342,00;06/06/2014;1143,00;06/06/2014;491,50;06/06/2014;724,00;06/06/2014;1165,87;06/06/2014;386,40;06/06/2014;116,70;06/06/2014;885,50;06/06/2014;193,00;06/06/2014;326,10;06/06/2014;1985,00;06/06/2014;431,35;06/06/2014;454,58
10/06/2014;6873,60;09/06/2014;628,30;09/06/2014;505,60;09/06/2014;3531,50;09/06/2014;1617,03;09/06/2014;4327,00;09/06/2014;1891,50;09/06/2014;207,95;09/06/2014;3172,50;09/06/2014;2656,00;09/06/2014;1179,40;09/06/2014;78,82;09/06/2014;1775,75;09/06/2014;5004,29;09/06/2014;3586,00;09/06/2014;244,75;09/06/2014;849,29;09/06/2014;2603,00;09/06/2014;1111,63;09/06/2014;372,53;09/06/2014;430,60;09/06/2014;701,97;09/06/2014;1273,98;09/06/2014;1464,66;09/06/2014;949,00;09/06/2014;406,10;09/06/2014;235,40;09/06/2014;1300,00;09/06/2014;3572,00;09/06/2014;1570,00;09/06/2014;876,00;09/06/2014;367,53;09/06/2014;1075,00;09/06/2014;165,10;10/06/2014;273,55;09/06/2014;3057,00;09/06/2014;428,00;09/06/2014;369,60;09/06/2014;2479,00;09/06/2014;333,90;09/06/2014;6625,00;09/06/2014;412,20;09/06/2014;1342,00;09/06/2014;1149,00;09/06/2014;492,00;09/06/2014;729,00;09/06/2014;1168,00;09/06/2014;386,20;09/06/2014;117,00;09/06/2014;893,50;09/06/2014;194,60;09/06/2014;328,60;09/06/2014;1994,00;09/06/2014;434,31;09/06/2014;453,05
11/06/2014;6838,90;10/06/2014;624,90;10/06/2014;507,20;10/06/2014;3545,50;10/06/2014;1624,11;10/06/2014;4348,00;10/06/2014;1905,00;10/06/2014;208,85;10/06/2014;3148,50;10/06/2014;2685,00;10/06/2014;1170,00;10/06/2014;78,45;10/06/2014;1760,36;10/06/2014;5014,07;10/06/2014;3592,00;10/06/2014;243,20;10/06/2014;841,19;10/06/2014;2623,00;10/06/2014;1116,05;10/06/2014;374,17;10/06/2014;430,30;10/06/2014;695,40;10/06/2014;1270,65;10/06/2014;1445,25;10/06/2014;951,50;10/06/2014;396,50;10/06/2014;234,00;10/06/2014;1310,00;10/06/2014;3597,34;10/06/2014;1576,00;10/06/2014;869,00;10/06/2014;369,25;10/06/2014;1100,00;10/06/2014;163,16;11/06/2014;265,19;10/06/2014;3061,00;10/06/2014;435,30;10/06/2014;367,88;10/06/2014;2465,00;10/06/2014;332,00;10/06/2014;6515,00;10/06/2014;410,40;10/06/2014;1347,00;10/06/2014;1132,00;10/06/2014;489,10;10/06/2014;725,50;10/06/2014;1166,93;10/06/2014;387,50;10/06/2014;117,90;10/06/2014;901,00;10/06/2014;194,50;10/06/2014;329,80;10/06/2014;2000,00;10/06/2014;435,84;10/06/2014;453,73
12/06/2014;6843,10;11/06/2014;620,90;11/06/2014;506,00;11/06/2014;3543,00;11/06/2014;1630,18;11/06/2014;4400,00;11/06/2014;1907,00;11/06/2014;199,40;11/06/2014;3156,50;11/06/2014;2678,00;11/06/2014;1170,85;11/06/2014;79,06;11/06/2014;1765,03;11/06/2014;5009,18;11/06/2014;3594,00;11/06/2014;240,60;11/06/2014;841,19;11/06/2014;2628,00;11/06/2014;1106,11;11/06/2014;373,67;11/06/2014;425,80;11/06/2014;694,74;11/06/2014;1262,08;11/06/2014;1457,69;11/06/2014;948,50;11/06/2014;393,90;11/06/2014;232,20;11/06/2014;1303,00;11/06/2014;3543,50;11/06/2014;1557,00;11/06/2014;868,50;11/06/2014;349,00;11/06/2014;1094,00;11/06/2014;161,55;12/06/2014;259,36;11/06/2014;3044,00;11/06/2014;433,60;11/06/2014;366,15;11/06/2014;2453,00;11/06/2014;330,10;11/06/2014;6440,00;11/06/2014;403,20;11/06/2014;1307,00;11/06/2014;1127,00;11/06/2014;486,30;11/06/2014;715,50;11/06/2014;1145,60;11/06/2014;385,10;11/06/2014;117,90;11/06/2014;890,50;11/06/2014;195,50;11/06/2014;333,00;11/06/2014;1981,00;11/06/2014;438,04;11/06/2014;450,67
13/06/2014;6777,90;12/06/2014;621,00;12/06/2014;508,30;12/06/2014;3555,50;12/06/2014;1634,22;12/06/2014;4422,50;12/06/2014;1923,00;12/06/2014;196,75;12/06/2014;3058,00;12/06/2014;2692,00;12/06/2014;1172,14;12/06/2014;79,48;12/06/2014;1742,18;12/06/2014;5072,71;12/06/2014;3565,00;12/06/2014;239,85;12/06/2014;848,78;12/06/2014;2652,00;12/06/2014;1108,32;12/06/2014;369,99;12/06/2014;426,80;12/06/2014;686,84;12/06/2014;1265,42;12/06/2014;1411,41;12/06/2014;959,00;12/06/2014;397,30;12/06/2014;231,20;12/06/2014;1308,00;12/06/2014;3528,72;12/06/2014;1559,00;12/06/2014;876,00;12/06/2014;352,43;12/06/2014;1088,00;12/06/2014;161,30;13/06/2014;251,27;12/06/2014;3055,00;12/06/2014;430,00;12/06/2014;366,48;12/06/2014;2414,00;12/06/2014;329,10;12/06/2014;6425,00;12/06/2014;404,60;12/06/2014;1302,00;12/06/2014;1129,00;12/06/2014;488,00;12/06/2014;717,00;12/06/2014;1146,67;12/06/2014;384,20;12/06/2014;117,10;12/06/2014;886,50;12/06/2014;193,20;12/06/2014;325,70;12/06/2014;1973,00;12/06/2014;433,45;12/06/2014;446,42
16/06/2014;6754,60;13/06/2014;616,40;13/06/2014;507,50;13/06/2014;3520,00;13/06/2014;1623,60;13/06/2014;4385,00;13/06/2014;1894,50;13/06/2014;195,00;13/06/2014;3017,50;13/06/2014;2664,00;13/06/2014;1151,20;13/06/2014;77,58;13/06/2014;1725,39;13/06/2014;5062,94;13/06/2014;3511,00;13/06/2014;238,70;13/06/2014;845,24;13/06/2014;2619,00;13/06/2014;1097,82;13/06/2014;369,87;13/06/2014;426,10;13/06/2014;676,97;13/06/2014;1244,48;13/06/2014;1403,44;13/06/2014;955,00;13/06/2014;394,30;13/06/2014;227,60;13/06/2014;1293,00;13/06/2014;3456,95;13/06/2014;1569,00;13/06/2014;870,00;13/06/2014;350,03;13/06/2014;1071,00;13/06/2014;158,24;16/06/2014;250,74;13/06/2014;3025,00;13/06/2014;424,50;13/06/2014;368,52;13/06/2014;2354,00;13/06/2014;326,30;13/06/2014;6250,00;13/06/2014;395,70;13/06/2014;1281,00;13/06/2014;1119,00;13/06/2014;486,00;13/06/2014;686,00;13/06/2014;1096,53;13/06/2014;369,00;13/06/2014;115,30;13/06/2014;893,00;13/06/2014;192,30;13/06/2014;322,80;13/06/2014;1974,00;13/06/2014;422,83;13/06/2014;437,07
